issue_type,issue_component,creator_name,creator_display_name,reporter_name,reporter_display_name,priority,description,labels,created,resolution,updated,status,id,key
Bug,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Major,,[],2020-07-17 12:52:08+00:00,,2020-07-31 02:44:34+00:00,Open,13317408,RATIS-1007
Bug,[],msingh,Mukul Kumar Singh,msingh,Mukul Kumar Singh,Major,Exclude netty 3.10 from Ratis dependencies,[],2020-07-17 09:29:10+00:00,2020-07-17 10:07:40+00:00,2020-07-17 10:07:40+00:00,Resolved,13317367,RATIS-1006
Bug,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Major,,[],2020-07-16 08:19:45+00:00,,2020-07-31 02:44:11+00:00,Open,13317115,RATIS-1005
Bug,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Major, !screenshot-1.png! ,[],2020-07-16 07:16:56+00:00,,2020-07-20 06:17:59+00:00,Open,13317105,RATIS-1004
Bug,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Major, !screenshot-1.png! ,[],2020-07-16 01:42:34+00:00,,2020-07-16 01:43:56+00:00,Open,13317059,RATIS-1003
Bug,[],ljain,Lokesh Jain,ljain,Lokesh Jain,Major,Ratis leader currently sees appendEntries timeout while appending entries to a follower. This is seen usually only for one of the followers. This leads to write failures and test timeouts in Ozone.,[],2020-07-14 16:21:53+00:00,,2020-07-14 16:24:46+00:00,Open,13316733,RATIS-1002
Improvement,[],glengeng,Glen Geng,glengeng,Glen Geng,Major," During SCM-HA, SCM not only needs to know whether it is a leader, but also needs to know which term it is in charge of.

 

Assume such a case: underlying raft node was leader on term 1, then step down as follower on term 2, then init election and become leader again on term 3. If term is not exposed together with leader information, SCM can not distinguish a leader of term 1 from that of term 3.

 

BTW the way, according to [~nanda]'s design, leader SCM need propagate its term to Datanode, RaftServerImpl::getRoleInfoProto() will be a good place to expose term from Ratis to SCM

 ",[],2020-07-14 07:51:42+00:00,2020-07-16 09:02:01+00:00,2020-12-02 08:32:53+00:00,Resolved,13316634,RATIS-1001
Improvement,[],ggezer,Göktürk Gezer,ggezer,Göktürk Gezer,Critical,"For when raft-server functionality is leveraged in a single-leader topology, it is always useful to be able to know the local raft-server's role and make necessary transitions in cluster accordingly.",[],2020-07-10 22:55:49+00:00,,2020-08-19 07:24:47+00:00,Open,13316248,RATIS-1000
Bug,[],ljain,Lokesh Jain,ljain,Lokesh Jain,Major,,[],2020-07-09 07:55:05+00:00,2020-07-09 09:12:52+00:00,2020-07-13 03:16:28+00:00,Resolved,13315820,RATIS-999
Bug,[],glengeng,Glen Geng,glengeng,Glen Geng,Major," 

I assume that {{shouldWithholdVotes()}} is used to handle request vote request with higher candidate term from disruptive server, but currently it just ignored such requests, since it only take effect when {{(state.getCurrentTerm() >= candidateTerm)}} .

shouldWithholdVotes() should be triggered for handling higher term. If currentTerm is larger or equal to candidateTerm, just reject the request vote, no need further handling.

 

Current code is 
{code:java}
private boolean shouldWithholdVotes(long candidateTerm) {
  if (state.getCurrentTerm() < candidateTerm) {
    return false; 
  } else if (isLeader()) {
    return true; 
  } else {
    // following a leader and not yet timeout
    return isFollower() && state.hasLeader()
        && role.getFollowerState().map(FollowerState::shouldWithholdVotes).orElse(false);
  }
}
{code}
Modify to 
{code:java}
private boolean shouldWithholdVotes(long candidateTerm) {
  if (state.getCurrentTerm() >= candidateTerm) {
    return false; 
  } else if (isLeader()) {
    return true; 
  } else {
    // following a leader and not yet timeout
    return isFollower() && state.hasLeader()
        && role.getFollowerState().map(FollowerState::shouldWithholdVotes).orElse(false);
  }
}
{code}
 ",['pull-request-available'],2020-07-08 03:32:47+00:00,,2020-08-08 06:05:48+00:00,Open,13315533,RATIS-998
Sub-task,[],ansh.khanna,Ansh Khanna,ansh.khanna,Ansh Khanna,Major,"According to the [FlatBuffers white paper|https://google.github.io/flatbuffers/flatbuffers_white_paper.html],
{quote}
You define your object types in a schema, which can then be compiled to C++ or Java for low to zero overhead reading & writing. ...
{quote}
In this JIRA, we investigate if it can be used to achieve zero buffer copying in Ratis Streaming.",[],2020-07-08 01:18:10+00:00,2020-07-17 18:54:02+00:00,2020-09-29 09:30:28+00:00,Resolved,13315517,RATIS-997
Bug,[],ljain,Lokesh Jain,ljain,Lokesh Jain,Blocker,Currently ratis-docs is not included in source and binary tar. Further ratis-docs is the last module built. This causes failure in package phase of ratis-assembly.,[],2020-07-07 07:30:51+00:00,2020-07-08 06:28:16+00:00,2020-07-13 03:17:36+00:00,Resolved,13315328,RATIS-996
New Feature,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Major,,[],2020-07-03 09:49:31+00:00,,2020-07-03 09:49:31+00:00,Open,13314869,RATIS-995
Improvement,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Major," !screenshot-1.png! 
 !screenshot-2.png! ",[],2020-07-02 23:48:38+00:00,,2020-07-02 23:49:39+00:00,Open,13314788,RATIS-994
New Feature,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Major,"For example, leader is s1, and s2, s3 are the followers. If there is something wrong with s3's network, and s3 lose connection with leader in a short time interval,  s3 will trigger election. when s3's network recovery, leader will step down which is unnecessary. So I want to add pre vote before real vote.

1. if s3 want to request vote, it first send a pre vote request.
2. when s1 and s2 receive pre vote request of s3, they check their electionTimeout to decide whether should trigger leader election.
3. If s1 and s2 refuse to trigger a new leader election, s3 still keep as follower.",[],2020-07-02 12:35:01+00:00,2021-01-06 14:32:15+00:00,2021-01-07 01:38:59+00:00,Resolved,13314679,RATIS-993
Improvement,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Major, !image-2020-07-02-19-16-47-996.png! ,[],2020-07-02 11:16:50+00:00,2020-07-09 11:38:12+00:00,2020-07-09 11:38:15+00:00,Resolved,13314659,RATIS-992
Bug,[],ljain,Lokesh Jain,ljain,Lokesh Jain,Blocker,,[],2020-06-30 09:52:21+00:00,2020-07-01 11:10:41+00:00,2020-07-01 11:10:41+00:00,Resolved,13314259,RATIS-991
Improvement,[],szetszwo,Tsz-wo Sze,szetszwo,Tsz-wo Sze,Major,"https://github.com/apache/incubator-ratis-thirdparty/blob/38b1c0c4201ec0856aed3230fd16ba26cb929e57/pom.xml#L76-L77
{code}
    <!--Version of flatbuffers to be shaded -->
    <shaded.flatbuffers.version>1.11.0</shaded.flatbuffers.version>
{code}
Currently, the flatbuffers version is 1.11.0 in ratis-thirdparty.  However, 1.11.0 seems not supporting methods using ByteBuffer so that it does not support zero buffer copying.  We should update it 1.12.0 or above.",[],2020-06-29 18:55:06+00:00,,2020-06-30 04:26:21+00:00,Open,13314122,RATIS-990
Bug,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Blocker,,[],2020-06-29 09:24:12+00:00,2020-06-30 10:44:43+00:00,2020-06-30 10:44:43+00:00,Resolved,13313994,RATIS-989
Improvement,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Major,,[],2020-06-26 06:11:47+00:00,,2020-06-28 07:30:30+00:00,Open,13313549,RATIS-988
Bug,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Critical,"This happens in ozone production. 
1. leader notify follower install snapshot-(t:3, i:999697) infinitely
 !screenshot-1.png! 
2. follower install snapshot infinitely
 !screenshot-2.png! ",[],2020-06-24 03:37:27+00:00,2020-06-24 08:45:37+00:00,2020-06-24 08:45:37+00:00,Resolved,13313163,RATIS-987
Improvement,[],xyao,Xiaoyu Yao,xyao,Xiaoyu Yao,Minor,"[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.7.0:compile (default-compile) on project ratis-thirdparty-test: Compilation failure
[ERROR] /Users/xyao/Downloads/ratis-thirdparty-0.5.0-incubating/test/target/generated-sources/org/apache/ratis/thirdparty/demo/GreeterGrpc.java:[20,18] cannot find symbol
[ERROR]   symbol:   class Generated
[ERROR]   location: package javax.annotation
[ERROR]",[],2020-06-23 23:13:20+00:00,,2020-06-24 20:40:46+00:00,Patch Available,13313129,RATIS-986
Improvement,[],rajesh.balamohan,Rajesh Balamohan,rajesh.balamohan,Rajesh Balamohan,Major,"!Screenshot 2020-06-23 at 12.33.41 PM.png|width=979,height=211!

Can be notified on conditional basis, as opposed to notifying for all calls; provides an option to reduce sync contention.

 ",[],2020-06-23 07:22:25+00:00,,2020-06-23 07:23:17+00:00,Open,13312980,RATIS-985
Test,[],ljain,Lokesh Jain,ljain,Lokesh Jain,Major,"{code:java}
java.lang.AssertionError
401	at org.junit.Assert.fail(Assert.java:86)
402	at org.junit.Assert.assertTrue(Assert.java:41)
403	at org.junit.Assert.assertTrue(Assert.java:52)
404	at org.apache.ratis.retry.TestMultipleLinearRandomRetry.testMultipleLinearRandomRetry(TestMultipleLinearRandomRetry.java:77)
405	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
406	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
407	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
408	at java.lang.reflect.Method.invoke(Method.java:498)
409	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50)
410	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
411	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47)
412	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
413	at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27)
414	at org.junit.internal.runners.statements.FailOnTimeout$CallableStatement.call(FailOnTimeout.java:298)
415	at org.junit.internal.runners.statements.FailOnTimeout$CallableStatement.call(FailOnTimeout.java:292)
416	at java.util.concurrent.FutureTask.run(FutureTask.java:266)
417	at java.lang.Thread.run(Thread.java:748)
{code}",[],2020-06-22 07:09:20+00:00,2020-09-10 10:19:20+00:00,2020-09-10 10:19:20+00:00,Resolved,13312774,RATIS-984
