issue_type,issue_component,creator_name,creator_display_name,reporter_name,reporter_display_name,priority,description,labels,created,resolution,updated,status,id,key
Bug,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"A recent change to disallow doctypes caused a regression.

The TDML runner used to load XML Infoset files using Xerces, but now it uses the ConstructingParser like all other loading.

The constructing parser is, unfortunately, intolerant of XML files that do not begin with ""<"" character either for an XML Prolog, or a document element.

The behavior needs to change to allow presence or absence of an XML prolog, whitespace or comments before the document element begins.",[],2021-05-27 12:45:42+00:00,2021-06-01 18:17:09+00:00,2021-06-03 16:59:31+00:00,Closed,13380765,DAFFODIL-2527
Improvement,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"Daffodil does a false-serialization of the parser/unparser at the end of compilation so as to force anything referenced from RuntimeData objects or parser/unparser objects to be evaluated if it was still lazy.

This is an overhead that we should be able to avoid if everything passed to RuntimeData constructors is passed by value, and everything passed to parser/unparser constructors is passed by value.",[],2021-05-24 13:13:18+00:00,,2021-05-24 13:13:18+00:00,Open,13380116,DAFFODIL-2526
Question,[],5v9wpcc0pa,5v9wpcc0pa,5v9wpcc0pa,5v9wpcc0pa,Minor,How to create a 3d array matrix with daffodil?,[],2021-05-24 11:30:48+00:00,2021-05-27 11:54:11+00:00,2021-05-27 14:11:31+00:00,Closed,13380078,DAFFODIL-2525
Improvement,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"Recent fixes to ULong in should be propagated back to the original authors.

We forked from them in 2015, If these bugs are still there in their code we shoud get the fixes to them.",[],2021-05-21 20:59:07+00:00,,2021-06-10 12:36:04+00:00,Open,13379852,DAFFODIL-2524
Improvement,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"In TDML, and most of our test files, tdml:defineSchema is used, and by default, for backward compatibility with earlier-authored tests, it creates a schema with elementFormDefault=""qualified"" and xmlns='[http://example.com'|http://example.com'/] as a default namespace, which is what the useDefaultNamespace attribute (which defaults to true) means.

Both of those are inverted from what they *should* be.

The preferred style for schemas is elementFormDefault 'unqualified', and to NOT assume any default namespaces (xmlns=""...."") unless it is explicitly setup by the test author on the tdml:testSuite or other element.

The use of default namespaces causes many subtle interactions that can make namespace-sensitive testing hard to debug.

Changing the defaults here will break several tests. At one point changing just useDefaultNamespace to 'false' was measured as causing 81 test failures, though they are concentrated in just a few test files.

 ",[],2021-05-21 14:22:57+00:00,,2021-05-21 14:22:57+00:00,Open,13379785,DAFFODIL-2523
Bug,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Critical,"ULong in the passera.unsigned package has bugs.

 

ULong.MaxValue is wrong. Should be the same value as

new java.math.BigInteger(""FFFFFFFFFFFFFFFF"", 16)

Fix, and add tests so we can be sure ULong is working right.",[],2021-05-19 22:28:01+00:00,2021-05-21 21:01:54+00:00,2021-05-24 14:28:19+00:00,Closed,13379379,DAFFODIL-2522
Bug,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"Several places in our code base call preSerialization to insure that there is no lazy evaluation that could happen late, after compilation is supposedly over.

The schema compiler should be responsible for making sure this is the case.

This can be achieved by having the schema compiler invoke preSerialization of the parser & unparser objects before returning them.

Then other uses of preSerialization in other places can be removed.

There are some unit tests of the schema compiler that could be effected. There may be a need for test-only schema compiler interface to be invoked that does *not* do this preserialization call, so that unit tests can partly compile, but then make inquiries of the compiler data structures.",[],2021-05-19 14:30:15+00:00,2021-06-11 19:46:54+00:00,2021-06-11 19:46:54+00:00,Resolved,13379315,DAFFODIL-2521
Bug,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"The Daffodil TDML Processor uses a global scala object as a cache of compiled schemas.

If you run a large sbt test which tests many many DFDL schemas, you run out of memory because this cache grows by holding onto the compiled parser/unparser representations of all compiled schemas.

This SchemaCache is important to avoid compiling the same schema over and over for each individual test case, but there is no need for a global cache. This cache could be part of the TDML TestSuite object.

This SchemaCache is currently called and used by the Daffodil TDML Processor object, so does not have visibility to the whole TestSuite. If hoisted out to become state of the TestSuite object, then this may have implications for other TDML Processors like the one we use to cross-test against IBM DFDL.

 ",[],2021-05-17 17:19:40+00:00,,2021-06-11 19:47:19+00:00,Open,13378852,DAFFODIL-2520
Bug,[],slawrence,Steve Lawrence,slawrence,Steve Lawrence,Major,,[],2021-05-14 20:04:18+00:00,2021-05-18 16:43:31+00:00,2021-05-19 11:08:55+00:00,Closed,13378520,DAFFODIL-2519
Bug,[],slawrence,Steve Lawrence,slawrence,Steve Lawrence,Minor,"Some issues were found when building an rc2 for 3.1.0:

- Typo in ""*Comitting* Site Changes""
- Because of the *set -e*, if a command ever exits with a non-zero exit code, the release candidate script just stops, and it's not obvious there was a failure. We should trap ERR and print out a message to make it clear things failed and what steps to take
- When the script commits site changes, it's possible for no changes to exist (this is likely in an rc2 since all documentation has already been committed during rc1). When this happens, the git commit command exists with a non-zero exit code and stop processing
- The script says to ""Delete"" staged files at repository.apache.org, but ""Drop"" is the correct terminology 
",[],2021-05-14 19:56:07+00:00,2021-05-19 12:37:53+00:00,2021-05-24 15:01:26+00:00,Closed,13378515,DAFFODIL-2518
Bug,[],slawrence,Steve Lawrence,slawrence,Steve Lawrence,Major,"We deprecated and removed isAtEnd from use in the TDML Runner, and replaced it with a check that the final bit position of a parse/unparse matched the total length. If not, it means there was left over data.

However, the IBM DFDL implementation is not able to report final parse/unparse bitPosition, and so it always returns -1. This special value should disable left over data checking, but it does not. Since -1 is less than the the expected number of bits, tests fail complaining about left over data. We need to add back this special meaning of -1 to the TDML Runner.",[],2021-05-14 15:53:35+00:00,2021-05-14 18:16:44+00:00,2021-05-17 12:37:00+00:00,Closed,13378498,DAFFODIL-2517
Bug,[],slawrence,Steve Lawrence,slawrence,Steve Lawrence,Major,"runtime2 does not compile on FreeBSD because because of different include locations, from a user:

1. It looked like the runtime2 C code was looking for the Mini-XML dependencies under /usr whereas the package on FreeBSD is stored under /usr/local, and;
2. Some C files under runtime2 were including <endian.h> whereas the file was under /usr/include/sys.

CFLAGS env variable support might help with this, or maybe there are some system properties that could be read to add include locations. Might also be able to look for/use pkg-config too.",[],2021-05-14 11:44:40+00:00,,2021-05-14 23:47:09+00:00,Open,13378474,DAFFODIL-2516
Improvement,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"Recent changes to address DAFFODIL-1437 (a cleanup) in Rules.scala showed that there are many test code coverage gaps. (CodeCov shows them in the changes in PR [https://github.com/apache/daffodil/pull/561] )

These specific code coverage gaps are of particular concern, as this is the lexical analyzer code for Daffodil's recognizing of escapes, delimiters, etc.

This area needs to be well covered.

TDML Tests of real DFDL schemas and test data need to be created which create the subtle DFDL scenarios which cause all these variations to be explored and covered. If it turns out there is code here that is unreachable by way of actual DFDL parsing, then we should remove it and document why.

( Note that we could get the code coverage by just writing Junit tests that exercise these classes/objects directly. But we should *not* do that. The point is to create DFDL which causes this to be exercised when tested. )

 

 

 

 

 ",[],2021-05-13 15:03:39+00:00,,2021-05-13 15:03:39+00:00,Open,13378324,DAFFODIL-2515
Bug,[],slawrence,Steve Lawrence,slawrence,Steve Lawrence,Major,,[],2021-05-12 11:49:56+00:00,2021-05-12 13:42:29+00:00,2021-05-13 18:01:08+00:00,Closed,13378081,DAFFODIL-2514
Bug,[],slawrence,Steve Lawrence,slawrence,Steve Lawrence,Minor,"Apache now as a JFrog Artifactory account as a way to easily distribute convenience binaries:

https://apache.jfrog.io/

All our jars are distributed via maven, but people using RPM need to manually download updates. An alternative for RPM users would be to upload RPM releases to jfrog, which acts as a yum/dnf repo. Then people can just add this as a new yum repo and daffodil will be automatically updated anytime someone runs dnf/yum update.

This is fairly new, so ASF provides little documentation on how to set this up, but it does use normal ASF credentials. They have stub page here: [https://cwiki.apache.org/confluence/display/INFRA/Artifactory+-+introduction+and+index]

Once we figure out how this works, we should incorporate it into our release workflow.",[],2021-05-07 16:56:42+00:00,,2021-05-17 14:40:21+00:00,Open,13377286,DAFFODIL-2513
Bug,[],slawrence,Steve Lawrence,slawrence,Steve Lawrence,Critical,"Parsing of unordered sequences uses the ChoiceParser to handle parsing the different alternatives. This causes issues because the SequenceParser that orchestrates the ChoiceParser needs to know why a ChoiceParser fails and react differently. If the ChoiceParser fails because all branches speculatively failed, then we need to simply ignore the failure and it signifies the end of the sequence. But if the ChoiceParser fails because a discriminated branch failed, then it signifies the unordered seuence failed, and the error must propogate upwards.

This suggests that we cannot use the ChoiceParser when parsing an unordred sequence because we cannot know the reason for failure once it completes–all we know is it failed. Instead, the SequenceParser must create and manage points of uncertainty attempt to parse each branch of the unordered sequence individually, much like the ChoiceParser does. This way, it can know if a branch was discriminated and failed, or if all branches were tried and they all failed, and react appropriately.",[],2021-05-06 16:41:50+00:00,2021-06-02 13:15:26+00:00,2021-06-03 16:50:00+00:00,Closed,13377067,DAFFODIL-2512
